Date	Close
22/01/2019	98
23/01/2019	93
23/01/2019	63
23/01/2019	61
23/01/2019	40
24/01/2019	05
24/01/2019	26
24/01/2019	64
24/01/2019	17
25/01/2019	66
25/01/2019	28
25/01/2019	28
25/01/2019	95
26/01/2019	48
26/01/2019	75
26/01/2019	70
26/01/2019	16
28/01/2019	86
28/01/2019	59
28/01/2019	89
28/01/2019	23
29/01/2019	67
29/01/2019	90
29/01/2019	94
29/01/2019	26
30/01/2019	37
30/01/2019	48
30/01/2019	39
30/01/2019	33
31/01/2019	00
31/01/2019	61
31/01/2019	56
31/01/2019	55
02/01/2019	45
02/01/2019	14
02/01/2019	43
02/01/2019	76
02/02/2019	65
02/02/2019	67
02/02/2019	02
02/02/2019	49
02/04/2019	09
02/04/2019	06
02/04/2019	78
02/04/2019	93
02/05/2019	49
02/05/2019	72
02/05/2019	15
02/05/2019	99
02/06/2019	98
02/06/2019	74
02/06/2019	73
02/06/2019	30
02/07/2019	26
02/07/2019	31
02/07/2019	59
02/07/2019	95
02/08/2019	60
02/08/2019	89
02/08/2019	63
02/08/2019	41
02/09/2019	68
02/09/2019	06
02/09/2019	77
02/09/2019	09
02/11/2019	74
02/11/2019	13
02/11/2019	19
02/11/2019	20
02/12/2019	52
02/12/2019	53
02/12/2019	48
02/12/2019	90
13/02/2019	73
13/02/2019	84
13/02/2019	67
13/02/2019	21
14/02/2019	10
14/02/2019	87
14/02/2019	63
14/02/2019	86
15/02/2019	65
15/02/2019	33
15/02/2019	75
15/02/2019	41
16/02/2019	09
16/02/2019	54
16/02/2019	73
16/02/2019	91
18/02/2019	00
18/02/2019	79
18/02/2019	19
18/02/2019	55
19/02/2019	33
19/02/2019	05
19/02/2019	04
19/02/2019	17
20/02/2019	64
20/02/2019	74
20/02/2019	58
20/02/2019	54
21/02/2019	19
21/02/2019	95
21/02/2019	51
21/02/2019	97
22/02/2019	29
22/02/2019	86
22/02/2019	05
22/02/2019	27
23/02/2019	89
23/02/2019	39
23/02/2019	23
23/02/2019	88
25/02/2019	86
25/02/2019	14
25/02/2019	32
25/02/2019	02
26/02/2019	73
26/02/2019	99
26/02/2019	44
26/02/2019	13
27/02/2019	96
27/02/2019	43
27/02/2019	52
27/02/2019	67
28/02/2019	03
28/02/2019	10
28/02/2019	32
28/02/2019	41
03/01/2019	95
03/01/2019	85
03/01/2019	10
03/01/2019	23
03/02/2019	51
03/02/2019	11
03/02/2019	24
03/02/2019	85
03/04/2019	30
03/04/2019	04
03/04/2019	84
03/05/2019	51
03/05/2019	43
03/05/2019	29
03/06/2019	76
03/06/2019	78
03/06/2019	42
03/06/2019	40
03/07/2019	30
03/07/2019	09
03/07/2019	05
03/07/2019	87
03/08/2019	21
03/08/2019	91
03/08/2019	18
03/08/2019	57
03/09/2019	50
03/09/2019	97
03/09/2019	16
03/09/2019	40
03/11/2019	44
03/11/2019	23
03/11/2019	38
03/11/2019	26
03/12/2019	43
03/12/2019	61
03/12/2019	67
03/12/2019	06
13/03/2019	24
13/03/2019	32
13/03/2019	52
13/03/2019	57
14/03/2019	20
14/03/2019	32
14/03/2019	07
14/03/2019	09
15/03/2019	42
15/03/2019	70
15/03/2019	97
15/03/2019	82
16/03/2019	71
16/03/2019	74
16/03/2019	17
16/03/2019	71
18/03/2019	21
18/03/2019	86
18/03/2019	74
18/03/2019	74
19/03/2019	06
19/03/2019	30
19/03/2019	85
19/03/2019	64
20/03/2019	46
20/03/2019	12
20/03/2019	97
20/03/2019	80
21/03/2019	36
21/03/2019	39
21/03/2019	09
21/03/2019	72
22/03/2019	42
22/03/2019	75
22/03/2019	72
22/03/2019	42
23/03/2019	01
23/03/2019	37
23/03/2019	14
23/03/2019	08
25/03/2019	79
25/03/2019	42
